Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor Bruto;Valor m2;Valor Bruto m2;Tipo Agregado
Apartamento;Botafogo;2;1;1;55;2500.0;1100.0;0.0;3600.0;45.45;79.21;Apartamento
Apartamento;Lagoa;4;3;3;260;18000.0;3500.0;9800.0;31300.0;69.23;452.12;Apartamento
Apartamento;Recreio dos Bandeirantes;2;2;1;85;2200.0;1500.0;257.0;3957.0;25.88;152.9;Apartamento
Apartamento;Barra da Tijuca;3;3;3;175;12000.0;2000.0;300.0;14300.0;68.57;208.55;Apartamento
Apartamento;Tijuca;3;2;2;253;4000.0;2101.0;4765.0;10866.0;15.81;687.29;Apartamento
Apartamento;Flamengo;2;1;1;90;3200.0;790.0;230.0;4220.0;35.56;118.67;Apartamento
Apartamento;Jardim Botânico;3;1;0;90;3250.0;700.0;15.0;3965.0;36.11;109.8;Apartamento
Apartamento;Lagoa;3;2;1;171;5800.0;1996.0;548.0;8344.0;33.92;245.99;Apartamento
Apartamento;Copacabana;2;0;0;80;2500.0;1150.0;150.0;3800.0;31.25;121.6;Apartamento
Apartamento;Lagoa;3;3;3;227;15900.0;3675.0;980.0;20555.0;70.04;293.48;Apartamento
Apartamento;Ipanema;3;1;1;110;5000.0;1100.0;351.0;6451.0;45.45;141.94;Apartamento
Apartamento;Tijuca;1;0;0;45;1950.0;550.0;55.0;2555.0;43.33;58.97;Apartamento
Apartamento;Lagoa;3;1;1;74;4000.0;1204.0;0.0;5204.0;54.05;96.28;Apartamento
Apartamento;Méier;1;0;0;33;890.0;250.0;13.0;1153.0;26.97;42.75;Apartamento
Apartamento;Barra da Tijuca;4;4;4;360;8000.0;3200.0;2000.0;13200.0;22.22;594.06;Apartamento
Apartamento;Barra da Tijuca;5;4;3;300;4500.0;1400.0;150.0;6050.0;15.0;403.33;Apartamento
Apartamento;Leblon;3;2;1;200;5700.0;2043.0;450.0;8193.0;28.5;287.47;Apartamento
Casa de Vila;Bento Ribeiro;1;0;0;40;600.0;0.0;0.0;600.0;15.0;40.0;Casa
Apartamento;Flamengo;1;0;0;23;1450.0;340.0;27.0;1817.0;63.04;28.82;Apartamento
Apartamento;Ipanema;1;1;1;55;2700.0;2300.0;240.0;5240.0;49.09;106.74;Apartamento
Apartamento;Vila Isabel;3;3;3;136;3500.0;1160.0;0.0;4660.0;25.74;181.04;Apartamento
Apartamento;Barra da Tijuca;4;3;4;280;10000.0;4000.0;800.0;14800.0;35.71;414.45;Apartamento
Casa;Vila da Penha;4;1;1;270;3500.0;0.0;0.0;3500.0;12.96;270.06;Casa
Apartamento;Humaitá;1;1;0;58;2900.0;743.0;123.0;3766.0;50.0;75.32;Apartamento
Apartamento;Recreio dos Bandeirantes;3;1;1;80;1700.0;619.0;0.0;2319.0;21.25;109.13;Apartamento
